Image ID,Penultimate_Output,GT_Value
03004__00014,"[array([[1.1076297, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00015,"[array([[0.90084565, 1.1547891 , 0.11274964, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00016,"[array([[1.1504526 , 3.0300853 , 0.01600981, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00020,"[array([[0.6170986 , 2.2262576 , 0.22435239, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00022,"[array([[1.5629705, 2.533399 , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00023,"[array([[0.85712856, 2.4173467 , 0.2725654 , 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00024,"[array([[1.2224344, 2.9494581, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00025,"[array([[0.7298448 , 3.007169  , 0.28442344, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00026,"[array([[0.6797496 , 2.8408365 , 0.19769377, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00027,"[array([[0.9030484 , 2.9096265 , 0.08866361, 0.        ]], dtype=float32)]","[array([[ 2.4245672, -2.8765302]], dtype=float32)]"
03004__00029,"[array([[1.0710962, 2.972543 , 0.3432472, 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00030,"[array([[1.6523367, 2.9666438, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00031,"[array([[1.7486172, 2.5592785, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00032,"[array([[1.667679 , 2.9997768, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00033,"[array([[1.499125 , 2.7886128, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00034,"[array([[1.6619679, 2.823144 , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00037,"[array([[1.6589342, 2.726667 , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00038,"[array([[1.7583061, 3.050678 , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00039,"[array([[1.6803969, 3.1006436, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00040,"[array([[1.7126013, 2.6343598, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00041,"[array([[1.884421 , 3.0143867, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00042,"[array([[1.6069661, 3.049498 , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00043,"[array([[1.6095009, 2.9244487, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00044,"[array([[1.7701339, 2.5555482, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
03004__00045,"[array([[1.5682924, 2.5356538, 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
