Image ID,Penultimate_Output,GT_Value
01231__00000,"[array([[0.       , 3.6979783, 1.0403625, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00001,"[array([[0.       , 3.4180024, 0.8330157, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00002,"[array([[0.       , 3.4210162, 0.7349466, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00003,"[array([[0.        , 3.1795225 , 0.74014485, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00004,"[array([[0.       , 3.2581563, 0.7499815, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00005,"[array([[0.       , 3.330226 , 0.9926295, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00006,"[array([[0.       , 3.1450143, 0.516163 , 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00007,"[array([[0.        , 3.4154506 , 0.89935756, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00008,"[array([[0.        , 3.137156  , 0.34882632, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00009,"[array([[0.       , 3.5557806, 0.9960611, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00010,"[array([[0.       , 3.7263446, 1.2318683, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00011,"[array([[0.       , 3.765653 , 0.4378741, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00012,"[array([[0.        , 3.384956  , 0.98035836, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00013,"[array([[0.       , 3.2580082, 0.0077754, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00014,"[array([[0.       , 3.3377788, 0.5153183, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00015,"[array([[0.       , 3.5971475, 0.8069906, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00016,"[array([[0.        , 3.8169146 , 0.23004368, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01231__00017,"[array([[0.        , 2.0486002 , 0.20222437, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00018,"[array([[0.        , 2.0091386 , 0.12910861, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00019,"[array([[0.        , 1.8987825 , 0.16095448, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00020,"[array([[0.04984224, 2.1768985 , 0.28224644, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00021,"[array([[0.        , 1.6947138 , 0.35994664, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00022,"[array([[0.14094949, 2.1414068 , 0.07325509, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00023,"[array([[0.        , 2.4250166 , 0.38395378, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00024,"[array([[0.        , 2.5463815 , 0.57280874, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00025,"[array([[0.        , 2.547727  , 0.37676165, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00026,"[array([[0.       , 2.3477821, 0.5474335, 0.       ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00027,"[array([[0.05488181, 2.1493933 , 0.2319698 , 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00028,"[array([[0.        , 1.8996534 , 0.56418717, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00029,"[array([[0.08384633, 2.3616529 , 0.5774164 , 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00030,"[array([[0.08164632, 2.1945882 , 0.50279784, 0.02709579]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00031,"[array([[0.        , 2.3165078 , 0.89536726, 0.01282549]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00032,"[array([[0.2963295 , 2.485438  , 0.20967725, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00033,"[array([[0.       , 1.8782594, 0.4479926, 0.       ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00034,"[array([[0.22827065, 2.2245455 , 0.00818485, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01231__00051,"[array([[0.3778838 , 0.        , 0.06375751, 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00052,"[array([[0.02088416, 0.        , 0.28444389, 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00053,"[array([[0.657901, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00054,"[array([[0.2422086, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00055,"[array([[0.24387562, 0.        , 0.1372518 , 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00056,"[array([[0.2327137, 0.       , 0.1277574, 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00057,"[array([[0.5163441, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01231__00058,"[array([[0.72629154, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
