Image ID,Penultimate_Output,GT_Value
01816__00000,"[array([[0.10623145, 0.        , 1.1471262 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00001,"[array([[0.4237324 , 0.02287972, 0.8728379 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00002,"[array([[0.28371096, 0.        , 1.0250247 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00003,"[array([[0.2695036, 0.       , 1.0315287, 0.       ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00004,"[array([[0.01120961, 0.        , 1.0704955 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00005,"[array([[0.37297344, 0.        , 0.9879019 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00006,"[array([[0.41110194, 0.        , 0.9516505 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00007,"[array([[0.39785886, 0.        , 1.0011833 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00008,"[array([[0.25770688, 0.23597515, 1.1075771 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00009,"[array([[0.7143026 , 0.        , 0.75699353, 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00010,"[array([[0.17556763, 0.        , 0.9977766 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00011,"[array([[0.26046145, 0.        , 1.0226254 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00012,"[array([[0.04410577, 0.        , 1.087702  , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00013,"[array([[0.34815454, 0.00392175, 0.8544378 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00014,"[array([[0.21531641, 0.        , 1.0321696 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00015,"[array([[0.07788634, 0.        , 1.1740507 , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00016,"[array([[0.34796202, 0.2402336 , 0.81489   , 0.        ]], dtype=float32)]","[array([[ 2.7965133, -2.6237097]], dtype=float32)]"
01816__00017,"[array([[0.6155936, 1.9568908, 0.5055847, 0.       ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00019,"[array([[0.        , 0.9941762 , 0.86408687, 0.        ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00020,"[array([[0.6243269, 1.8397574, 0.5520942, 0.       ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00021,"[array([[0.56839985, 2.0672667 , 0.3319119 , 0.        ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00022,"[array([[0.41045713, 2.1857362 , 0.40961412, 0.        ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00024,"[array([[0.48317903, 1.52021   , 0.51131   , 0.        ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00025,"[array([[0.28264487, 1.4163269 , 0.660359  , 0.        ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
01816__00026,"[array([[0.1625197, 1.6864452, 0.529632 , 0.       ]], dtype=float32)]","[array([[ 3.0717115, -5.0666122]], dtype=float32)]"
