Image ID,Penultimate_Output,GT_Value
00503__00000,"[array([[1.1596011 , 0.40613282, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00001,"[array([[1.6229014, 0.9749377, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00002,"[array([[1.6686435, 1.0388482, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00003,"[array([[1.9397221, 0.8600673, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00004,"[array([[1.0533195 , 0.60913235, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00005,"[array([[1.1135644, 0.9613038, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00006,"[array([[1.64958   , 0.42871964, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00007,"[array([[0.912777 , 1.3711472, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00008,"[array([[1.1685603, 1.2264365, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00009,"[array([[0.9776559, 0.6692543, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00010,"[array([[1.2434093, 1.2340213, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00011,"[array([[0.73205674, 0.50267446, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00012,"[array([[1.3961983, 1.0717916, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00013,"[array([[1.4589189, 0.9476413, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00014,"[array([[1.5649772, 1.3327484, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00015,"[array([[0.7450989, 1.2895923, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
00503__00016,"[array([[0.31096983, 1.8795428 , 0.2336978 , 0.        ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00017,"[array([[0.39458108, 1.6918402 , 0.        , 0.        ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00018,"[array([[0.08389103, 1.6557121 , 0.09503123, 0.        ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00019,"[array([[1.0291716, 1.763206 , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00020,"[array([[1.2126515, 1.8236263, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00021,"[array([[1.1231446, 1.963949 , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00029,"[array([[1.025837 , 2.0981371, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00030,"[array([[0.8411937, 2.6636992, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00031,"[array([[0.65857184, 2.6217666 , 0.        , 0.        ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00032,"[array([[0.47218287, 2.5122051 , 0.        , 0.        ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00033,"[array([[0.2869408, 2.2139986, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.6892917, -6.2786584]], dtype=float32)]"
00503__00034,"[array([[1.8491094, 2.167412 , 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00035,"[array([[2.0270503, 2.2047005, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00036,"[array([[1.9045147, 1.9652909, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00037,"[array([[2.0435538, 2.1633618, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00038,"[array([[1.8097897, 2.1408622, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00039,"[array([[2.0062819, 2.2249262, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00040,"[array([[2.2597933, 2.5696354, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00041,"[array([[1.8597057, 2.1772094, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00042,"[array([[2.1739583, 2.0943723, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00043,"[array([[2.1164813, 2.4068084, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00044,"[array([[1.9683474, 2.3261094, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00045,"[array([[1.886383, 2.133249, 0.      , 0.      ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
00503__00046,"[array([[1.992496 , 2.4237566, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0659149, -6.3238354]], dtype=float32)]"
