Image ID,Penultimate_Output,GT_Value
02152__00000,"[array([[1.0054525 , 0.3692174 , 0.61762595, 0.        ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02152__00001,"[array([[0.15627253, 1.3987211 , 1.0061172 , 0.        ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02152__00002,"[array([[0.79476833, 1.3831797 , 0.71446633, 0.        ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02152__00003,"[array([[1.0769343, 1.1536278, 0.5031595, 0.       ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02152__00004,"[array([[0.6439378, 2.8084445, 1.1471184, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02152__00005,"[array([[0.95082426, 3.070673  , 0.43309334, 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02152__00006,"[array([[0.52663237, 3.7032242 , 1.1385813 , 0.        ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02152__00007,"[array([[1.0471277, 3.1277354, 0.5588523, 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02152__00008,"[array([[1.6158817, 1.0544676, 0.       , 0.       ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00009,"[array([[1.886579  , 0.24431366, 0.        , 0.        ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00010,"[array([[1.6751922, 0.8117818, 0.       , 0.       ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00011,"[array([[1.5458782, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00012,"[array([[2.1032906, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00013,"[array([[1.8683078 , 0.02008796, 0.        , 0.        ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00014,"[array([[1.9519967 , 0.00874019, 0.        , 0.        ]], dtype=float32)]","[array([[-0.38378093, -2.9085631 ]], dtype=float32)]"
02152__00015,"[array([[1.6123992, 0.9860361, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00016,"[array([[1.7162795 , 0.74363035, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00017,"[array([[1.5847601, 1.2415005, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00018,"[array([[1.7380153, 0.9477773, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00019,"[array([[1.8882065, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00020,"[array([[1.17746   , 0.34336382, 0.06859797, 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00021,"[array([[1.797539, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00022,"[array([[1.795598  , 0.40815908, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00023,"[array([[1.6920218 , 0.18909413, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00024,"[array([[1.7582328 , 0.26296264, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00025,"[array([[1.8823192, 0.5037131, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00026,"[array([[1.302412, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00027,"[array([[1.664769  , 0.68100303, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00028,"[array([[1.5777203 , 0.69361335, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00029,"[array([[1.5380127, 0.7493404, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00030,"[array([[1.4417762, 0.6587864, 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02152__00031,"[array([[0.9958142, 1.6135414, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00032,"[array([[1.7530168, 1.8461828, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00033,"[array([[1.1308104, 1.2505618, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00034,"[array([[0.97392774, 0.94229555, 0.71514213, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00035,"[array([[0.91805553, 0.54737574, 0.20822427, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00036,"[array([[1.0176443 , 0.5929078 , 0.30407515, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00037,"[array([[0.911539  , 0.42052305, 0.6199095 , 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00038,"[array([[1.2223002 , 1.0510298 , 0.01887482, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00039,"[array([[1.6273453, 0.7325538, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00040,"[array([[1.3612806, 1.7194769, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00041,"[array([[1.5325454, 1.0058327, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00042,"[array([[1.640359 , 2.0406456, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00043,"[array([[1.502283 , 1.4389324, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00044,"[array([[1.1712155 , 1.1439353 , 0.45618173, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00045,"[array([[1.3166198 , 1.0077869 , 0.08891454, 0.        ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00046,"[array([[1.2016971, 2.0585136, 0.1395857, 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00047,"[array([[1.199949 , 1.46015  , 0.1382767, 0.       ]], dtype=float32)]","[array([[ 0.48236868, -3.9984097 ]], dtype=float32)]"
02152__00048,"[array([[1.7064505 , 0.06835973, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00049,"[array([[1.3254265, 0.       , 0.5497669, 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00050,"[array([[1.6178181, 0.2609251, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00051,"[array([[1.7975153 , 0.19599664, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00052,"[array([[1.0842679 , 0.7188839 , 0.38709024, 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00053,"[array([[1.7377341, 0.4520504, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00054,"[array([[1.3992774, 1.3144083, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00055,"[array([[1.3219916, 2.0067024, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00056,"[array([[1.0097857 , 0.9082686 , 0.02423674, 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00057,"[array([[1.1581951 , 0.70600206, 0.07385483, 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00058,"[array([[0.98912424, 0.79387236, 0.23146096, 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00059,"[array([[1.4865352, 1.1965408, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00060,"[array([[1.1022583 , 1.1527877 , 0.42735228, 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00061,"[array([[1.6492088, 1.1037415, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00062,"[array([[1.3236969 , 0.79921937, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00063,"[array([[1.3853006, 0.9301227, 0.5103549, 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00064,"[array([[1.2987565, 1.0000821, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9576511, -2.013352 ]], dtype=float32)]"
02152__00065,"[array([[0.781676 , 1.1084573, 0.6539295, 0.       ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00066,"[array([[0.8051359 , 0.9539429 , 0.58143306, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00067,"[array([[0.6794064, 0.8543259, 0.4498411, 0.       ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00068,"[array([[0.80032784, 1.4797556 , 0.5778308 , 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00069,"[array([[0.8031468, 1.7561271, 0.4160978, 0.       ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00070,"[array([[1.0591854 , 1.3662839 , 0.26185295, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00071,"[array([[0.9688637 , 1.7448428 , 0.79680526, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00072,"[array([[0.92665225, 1.9150324 , 0.76451874, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00073,"[array([[0.67633414, 2.2929182 , 0.76124275, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00074,"[array([[0.6635141, 2.1962523, 0.9520149, 0.       ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00075,"[array([[0.66304624, 2.1869855 , 0.63605165, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00076,"[array([[0.7874568 , 2.1289806 , 0.48884794, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00077,"[array([[0.91286385, 2.1804652 , 0.6059439 , 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00078,"[array([[0.7822825, 0.8966149, 0.5662056, 0.       ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00079,"[array([[0.80071324, 1.4868644 , 0.61901236, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00080,"[array([[0.3724208 , 1.34604   , 0.86655414, 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00081,"[array([[0.68876386, 1.4487312 , 0.6507329 , 0.        ]], dtype=float32)]","[array([[ 2.547733 , -5.2730865]], dtype=float32)]"
02152__00082,"[array([[1.3976687, 2.3007135, 0.       , 0.       ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00083,"[array([[1.3489496, 2.8033686, 0.       , 0.       ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00084,"[array([[0.711124  , 2.3093686 , 0.26434526, 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00085,"[array([[0.9057775 , 3.0096152 , 0.32164732, 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00086,"[array([[0.8210759 , 2.7374554 , 0.63642013, 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00087,"[array([[1.2546794, 2.9783196, 0.       , 0.       ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02152__00088,"[array([[1.3256242 , 2.6216524 , 0.00566337, 0.        ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
