Image ID,Penultimate_Output,GT_Value
03140__00000,"[array([[0.48644102, 1.5762904 , 0.7941214 , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00001,"[array([[0.45657533, 1.5264357 , 0.8815997 , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00002,"[array([[0.6977463, 1.555446 , 0.9978037, 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00003,"[array([[0.26072294, 1.2160325 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00004,"[array([[0.7137117, 1.0410936, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00005,"[array([[0.5039328 , 0.80184644, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00006,"[array([[0.59492487, 0.8241477 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00007,"[array([[0.08623146, 0.98742276, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00008,"[array([[0.419496  , 0.85024714, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00009,"[array([[0.       , 1.4729375, 0.6370229, 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00010,"[array([[0.5177862, 1.2670467, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00011,"[array([[0.02086149, 1.3422618 , 0.15884447, 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00012,"[array([[0.62747604, 0.32362938, 0.        , 0.        ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00013,"[array([[0.559563  , 0.16077971, 0.        , 0.        ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00014,"[array([[0.        , 0.18482304, 0.        , 0.31007957]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00015,"[array([[0.        , 0.13483548, 0.        , 0.09891175]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00016,"[array([[0.3864426 , 0.18074656, 0.        , 0.        ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00017,"[array([[0.5947406 , 0.03021395, 0.        , 0.        ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00018,"[array([[0.        , 0.3571818 , 0.        , 0.07620877]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00019,"[array([[0.5286369 , 0.31372225, 0.        , 0.        ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00020,"[array([[0.        , 0.16545272, 0.        , 0.3455032 ]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00021,"[array([[0.        , 0.24952304, 0.        , 0.20857227]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00022,"[array([[0.        , 0.52830625, 0.        , 0.19650772]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
