Image ID,Penultimate_Output,GT_Value
02833__00000,"[array([[0.08279787, 0.42445922, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00001,"[array([[0.8756265 , 0.27338982, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00002,"[array([[0.        , 0.771654  , 0.        , 0.08511652]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00003,"[array([[0.37349802, 0.87847334, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00004,"[array([[0.8708796, 0.3901093, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00005,"[array([[0.        , 0.38451588, 0.        , 0.23396629]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00006,"[array([[0.7108267, 1.1978198, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00007,"[array([[0.7606829 , 0.41894555, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00008,"[array([[0.35855436, 0.53683496, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00009,"[array([[0.8482066, 1.1202614, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00010,"[array([[0.43992227, 0.6830741 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00011,"[array([[0.3258618 , 0.49551582, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00012,"[array([[0.        , 0.66352606, 0.        , 0.49304745]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00013,"[array([[0.       , 0.7602675, 0.       , 0.5181617]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00014,"[array([[0.       , 0.6564018, 0.       , 0.3222987]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00015,"[array([[0.13176866, 1.5037712 , 0.75489295, 0.        ]], dtype=float32)]","[array([[ 0.18885288, -6.9766517 ]], dtype=float32)]"
