Image ID,Penultimate_Output,GT_Value
02078__00000,"[array([[0.       , 1.9259394, 1.3643072, 1.5752364]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00001,"[array([[0.       , 1.9969237, 1.4264104, 1.8026913]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00002,"[array([[0.       , 2.1261344, 1.5305223, 2.2836394]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00003,"[array([[0.       , 2.0673823, 1.4236952, 1.8182361]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00004,"[array([[0.       , 2.2807348, 1.5457065, 1.7521448]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00005,"[array([[0.       , 2.7127333, 1.3424774, 1.6982597]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00006,"[array([[0.       , 2.5049567, 1.4799827, 1.976926 ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00007,"[array([[0.       , 2.838099 , 1.2209547, 1.7520136]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00008,"[array([[0.       , 2.8727665, 1.159092 , 1.4858497]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00009,"[array([[0.       , 2.7562628, 1.1968148, 1.6036842]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00010,"[array([[0.       , 2.678281 , 1.2141453, 1.6497835]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00011,"[array([[0.       , 2.5808442, 1.4140996, 1.9450321]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00012,"[array([[0.       , 2.5904806, 1.3863335, 1.9079504]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00013,"[array([[0.       , 2.3829463, 1.3792324, 1.4338865]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00014,"[array([[0.       , 3.0678453, 0.9344852, 1.3988439]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00015,"[array([[0.41808796, 2.3692918 , 1.0467349 , 0.        ]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02078__00016,"[array([[0.       , 2.7179976, 1.2115701, 1.5668707]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00017,"[array([[0.       , 2.3614483, 1.1808068, 1.3357018]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00018,"[array([[0.       , 3.0656774, 1.0473907, 1.7179624]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00019,"[array([[0.       , 2.5998728, 1.3071475, 1.6635596]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00020,"[array([[0.       , 3.0597048, 1.0394624, 1.40637  ]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00021,"[array([[0.       , 2.2307858, 1.4653889, 1.3037244]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00022,"[array([[0.       , 2.8692474, 1.1210544, 1.668057 ]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00023,"[array([[0.       , 2.971239 , 1.1121001, 1.8216279]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00024,"[array([[0.       , 2.7499828, 1.178749 , 1.6212561]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00025,"[array([[0.       , 2.7529192, 1.1472449, 1.524592 ]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00026,"[array([[0.       , 2.5688486, 1.2871743, 1.6661036]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00027,"[array([[0.       , 3.0312097, 1.0502648, 1.7185853]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00028,"[array([[0.       , 2.8116136, 1.2267351, 1.7397553]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00029,"[array([[0.       , 3.4387536, 0.8999717, 1.8501259]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00030,"[array([[0.       , 3.0642376, 1.0684627, 1.7487097]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00031,"[array([[0.       , 2.8696837, 1.245655 , 1.9524481]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00032,"[array([[0.       , 2.9081457, 1.1531026, 1.5299373]], dtype=float32)]","[array([[ 2.373273, -9.258414]], dtype=float32)]"
02078__00033,"[array([[0.        , 2.4134455 , 1.0448666 , 0.85547394]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00034,"[array([[0.       , 2.301166 , 1.0896049, 0.5344091]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00035,"[array([[0.2738573, 2.2547464, 1.1181781, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00036,"[array([[0.533948 , 1.845304 , 1.2357665, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00037,"[array([[0.5938527, 1.4625787, 0.6305374, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00038,"[array([[0.87620395, 1.5093188 , 0.88051033, 0.        ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00039,"[array([[0.2184423, 1.4100984, 0.3497995, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00044,"[array([[1.2603022 , 1.485793  , 0.81088203, 0.        ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00046,"[array([[0.9714232, 1.5354024, 1.0133507, 0.       ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
02078__00050,"[array([[0.       , 1.5673577, 1.0246308, 0.       ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00051,"[array([[0.46938556, 1.3861352 , 0.21478295, 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00052,"[array([[0.6563315, 0.3777796, 0.       , 0.       ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00053,"[array([[0.17043905, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00054,"[array([[0.25230318, 0.17995965, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00055,"[array([[0.7750967 , 0.19346642, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00056,"[array([[0.2154087 , 0.21826446, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00057,"[array([[0.        , 0.32707334, 0.        , 0.318231  ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00058,"[array([[0.10794784, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00059,"[array([[0.86999923, 0.08054531, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00060,"[array([[0.5720271, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00061,"[array([[0.62965244, 0.0070802 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00063,"[array([[0.85783035, 0.17110217, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00064,"[array([[1.2024957 , 0.45604932, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00065,"[array([[1.0719666 , 0.48209858, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00066,"[array([[0.65691847, 0.13639426, 0.        , 0.        ]], dtype=float32)]","[array([[-0.37731352, -3.3327048 ]], dtype=float32)]"
02078__00067,"[array([[0.3949964 , 1.370412  , 0.14408672, 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00068,"[array([[0.22392894, 0.92361724, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00069,"[array([[0.09655206, 0.7323108 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00070,"[array([[0.38409686, 0.49895155, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00071,"[array([[0.        , 0.51107955, 0.        , 0.10115638]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00072,"[array([[0.        , 0.56675243, 0.        , 0.39679107]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00073,"[array([[0.        , 0.48878717, 0.        , 0.34491017]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00074,"[array([[0.       , 0.5532656, 0.       , 0.5252085]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00075,"[array([[0.7513009 , 0.40043843, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00076,"[array([[0.2158448, 0.6572632, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00077,"[array([[0.9559484, 0.6820615, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00078,"[array([[0.49054325, 0.2857647 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00079,"[array([[0.        , 0.8153097 , 0.        , 0.63610446]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00080,"[array([[1.058173 , 0.6512831, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00081,"[array([[0.5898933, 0.1339823, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00082,"[array([[0.        , 0.16324937, 0.        , 0.18266717]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02078__00083,"[array([[0.75617313, 0.6067934 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
