Image ID,Penultimate_Output,GT_Value
01877__00000,"[array([[0.5697772, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00001,"[array([[0.84025925, 0.06004667, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00002,"[array([[0.06203993, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00003,"[array([[0.67035925, 0.01534033, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00004,"[array([[0.20563222, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00005,"[array([[0.9578317, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00006,"[array([[0.3251878, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00007,"[array([[0.37290525, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00008,"[array([[0.65602595, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00009,"[array([[0.45988208, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00010,"[array([[0.76206774, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00011,"[array([[0.35818732, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00012,"[array([[0.09225492, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00013,"[array([[0.624815, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
