Image ID,Penultimate_Output,GT_Value
02091__00000,"[array([[0.        , 1.5908091 , 0.40523326, 1.3450569 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00001,"[array([[0.        , 1.7671951 , 0.83928835, 0.36388305]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00002,"[array([[0.       , 1.2058758, 0.       , 1.0363537]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00003,"[array([[0.        , 1.3906047 , 0.03754914, 1.159332  ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00004,"[array([[0.       , 1.3248073, 0.       , 0.5770916]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00005,"[array([[0.        , 1.6503465 , 0.65565324, 0.1928038 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00006,"[array([[0.        , 1.7032218 , 0.73495317, 0.6544408 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00007,"[array([[0.       , 1.3990217, 0.       , 0.6569803]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00008,"[array([[0.        , 1.3919861 , 0.01453364, 0.56897455]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00009,"[array([[0.       , 1.5392841, 0.4256915, 1.4594041]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00010,"[array([[0.1117446 , 1.3825204 , 0.27696013, 0.        ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00011,"[array([[0.        , 1.4622934 , 0.26102102, 1.0117296 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00012,"[array([[0.        , 1.6646323 , 0.71642214, 0.767436  ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00013,"[array([[0.        , 1.5110704 , 0.70690495, 0.7463954 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00014,"[array([[0.       , 1.4868395, 0.5849918, 0.6543327]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00015,"[array([[0.        , 0.3467803 , 0.        , 0.09170896]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00016,"[array([[0.       , 0.9561756, 0.       , 1.1045611]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00017,"[array([[0.        , 1.3374293 , 0.        , 0.75262177]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00018,"[array([[0.       , 1.2871033, 0.       , 0.5785611]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00019,"[array([[0.        , 0.98746413, 0.        , 0.2700398 ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00020,"[array([[0.       , 0.4887029, 0.       , 1.475411 ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00021,"[array([[0.       , 0.7932139, 0.       , 1.0360166]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00022,"[array([[0.36438376, 1.060808  , 0.        , 0.        ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00023,"[array([[0.        , 0.853064  , 0.        , 0.34807563]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00024,"[array([[0.        , 0.39749646, 0.        , 1.1091365 ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00025,"[array([[0.       , 0.9557497, 0.       , 0.9623193]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00026,"[array([[0.        , 0.7010658 , 0.        , 0.66037935]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00027,"[array([[0.       , 0.9223456, 0.       , 0.7705402]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00028,"[array([[0.        , 0.7003393 , 0.        , 0.71706516]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00029,"[array([[0.        , 0.4385531 , 0.        , 0.90002257]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00030,"[array([[0.       , 1.51271  , 0.6403345, 0.4729728]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00031,"[array([[0.        , 1.6636099 , 1.102984  , 0.87199247]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00032,"[array([[0.       , 1.4907644, 0.6162421, 0.6409717]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00033,"[array([[0.       , 0.9360589, 0.       , 1.022399 ]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00034,"[array([[0.       , 1.1173658, 0.       , 0.7697184]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00035,"[array([[0.       , 1.6503339, 0.7245929, 0.5617004]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00036,"[array([[0.        , 1.5288785 , 0.43306917, 0.42011806]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
