Image ID,Penultimate_Output,GT_Value
03183__00000,"[array([[1.3471277 , 0.20562029, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00001,"[array([[1.4643141 , 0.20802748, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00002,"[array([[1.6069775 , 0.06223166, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00003,"[array([[0.9824217 , 0.22976983, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00004,"[array([[1.0176325 , 0.01305532, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00005,"[array([[1.1687174, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00006,"[array([[1.4653555 , 0.85392076, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00007,"[array([[1.5165474 , 0.79410887, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00008,"[array([[1.3103771 , 0.81910944, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00009,"[array([[1.8182092 , 0.41150725, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00010,"[array([[1.1719619, 0.7378768, 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00011,"[array([[1.4699805, 0.7811051, 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00012,"[array([[1.444759  , 0.96632403, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00013,"[array([[1.6375562, 1.009978 , 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00014,"[array([[0.79066426, 2.100863  , 1.0374761 , 0.        ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00015,"[array([[1.0107619, 2.2606735, 1.1707933, 0.       ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00016,"[array([[0.48557502, 2.0034943 , 1.2009983 , 0.        ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00017,"[array([[0.6023433, 2.1549582, 0.9502144, 0.       ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00018,"[array([[0.24662797, 2.3965106 , 0.8688143 , 0.        ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
