Image ID,Penultimate_Output,GT_Value
01326__00000,"[array([[0.        , 0.08188391, 0.        , 0.47154206]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00001,"[array([[0.36651462, 0.72213477, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00002,"[array([[0.8440303, 0.8726423, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00003,"[array([[0.482077, 0.839566, 0.      , 0.      ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00004,"[array([[1.2325218 , 0.37763762, 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00005,"[array([[0.        , 0.64882576, 0.        , 0.05561614]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00006,"[array([[0.        , 0.2917521 , 0.        , 0.07851162]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00007,"[array([[0.        , 0.01038587, 0.        , 0.37880746]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00008,"[array([[0.31944144, 0.8107042 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00009,"[array([[0.8484296, 0.9811848, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00010,"[array([[0.        , 1.1282499 , 0.        , 0.48916724]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00011,"[array([[0.        , 1.0547664 , 0.        , 0.46865624]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00012,"[array([[0.        , 0.79337436, 0.        , 0.5877307 ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00013,"[array([[0.        , 0.96987975, 0.        , 0.21582198]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00014,"[array([[0.       , 1.0631001, 0.       , 2.1175804]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00015,"[array([[0.       , 0.8426678, 0.       , 1.8757305]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00016,"[array([[0.        , 0.75130147, 0.        , 0.556662  ]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00017,"[array([[0.       , 0.6844284, 0.       , 1.4922045]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00018,"[array([[0.       , 0.4393804, 0.       , 2.0560505]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00019,"[array([[0.       , 0.7766869, 0.       , 1.6558024]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00020,"[array([[0.       , 0.8837988, 0.       , 1.618312 ]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00021,"[array([[0.        , 0.74454415, 0.        , 1.9175317 ]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00022,"[array([[0.       , 0.545027 , 0.       , 1.4763005]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00023,"[array([[0.       , 0.8908325, 0.       , 2.6206567]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00024,"[array([[0.       , 0.5507394, 0.       , 2.3122451]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00025,"[array([[0.       , 0.8694057, 0.       , 2.0335622]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00026,"[array([[0.       , 1.017348 , 0.       , 2.0707545]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00027,"[array([[0.       , 1.2012799, 0.       , 2.0045774]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00028,"[array([[0.       , 0.8106545, 0.       , 2.2775197]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00029,"[array([[0.       , 0.2688142, 0.       , 1.4326903]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00030,"[array([[0.       , 2.0288303, 1.1592748, 1.8451577]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00031,"[array([[0.        , 1.716128  , 0.40816367, 2.2117665 ]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00032,"[array([[0.       , 0.5543009, 0.       , 0.9014548]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00033,"[array([[0.        , 0.14927697, 0.        , 1.1400797 ]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00034,"[array([[0.       , 0.7090938, 0.       , 1.5559248]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00035,"[array([[0.       , 1.0228939, 0.       , 1.8761556]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00036,"[array([[0.       , 1.0538132, 0.       , 1.8903083]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00037,"[array([[0.       , 2.0468779, 0.9799019, 1.9374466]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00038,"[array([[0.       , 2.4401646, 1.255908 , 2.5988219]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00039,"[array([[0.       , 2.1276124, 1.1189312, 1.5901213]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00040,"[array([[0.       , 2.0141358, 0.7292012, 2.0569537]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00041,"[array([[0.       , 2.222922 , 1.0234177, 1.9305345]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00042,"[array([[0.       , 1.9658244, 0.9241557, 1.4868119]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00043,"[array([[0.       , 2.0019243, 1.10536  , 1.9746423]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00044,"[array([[0.       , 2.206862 , 1.0248542, 1.947849 ]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00045,"[array([[0.       , 2.2909155, 1.3101577, 2.7353272]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00046,"[array([[0.        , 0.95551264, 0.        , 1.5475119 ]], dtype=float32)]","[array([[ 1.6839163, -4.8267436]], dtype=float32)]"
