Image_ID,Penultimate_Output,GT_Value
00382__00684,"[array([[0.        , 1.9581352 , 1.4181957 , 0.52139467]], dtype=float32)]","[array([[  3.7528267, -12.290125 ]], dtype=float32)]"
00382__00027,"[array([[0.15467526, 2.264184  , 0.41265017, 0.        ]], dtype=float32)]","[array([[-1.6248267, -1.5938755]], dtype=float32)]"
00382__00032,"[array([[0.        , 1.5575048 , 0.74638027, 0.09585468]], dtype=float32)]","[array([[ 2.4084134, -4.2679377]], dtype=float32)]"
00382__00749,"[array([[0.8996288, 2.3438597, 1.4256058, 0.       ]], dtype=float32)]","[array([[-1.2200624, -9.483322 ]], dtype=float32)]"
00382__00754,"[array([[0.       , 2.5898113, 1.3484333, 1.047291 ]], dtype=float32)]","[array([[ 3.7528267, -6.942    ]], dtype=float32)]"
00382__00922,"[array([[0.       , 1.963032 , 1.3595245, 1.4353517]], dtype=float32)]","[array([[  3.4080775, -12.275346 ]], dtype=float32)]"
00382__00504,"[array([[0.       , 1.6459159, 0.5945395, 0.       ]], dtype=float32)]","[array([[-1.4779081, -7.5761633]], dtype=float32)]"
00382__00111,"[array([[0.7451263, 1.6811368, 1.4470944, 0.       ]], dtype=float32)]","[array([[-0.0354592, -7.382413 ]], dtype=float32)]"
00382__00140,"[array([[1.0822375, 1.0792807, 0.       , 0.       ]], dtype=float32)]","[array([[-1.401777 , -3.6137722]], dtype=float32)]"
00382__00562,"[array([[0.72137266, 2.0394094 , 1.4269903 , 0.        ]], dtype=float32)]","[array([[-0.28041333, -9.616062  ]], dtype=float32)]"
00382__00538,"[array([[0.06800435, 1.6419607 , 0.20401633, 0.        ]], dtype=float32)]","[array([[-0.28041333, -4.2679377 ]], dtype=float32)]"
00382__00182,"[array([[0.        , 2.5667238 , 1.0844529 , 0.18824682]], dtype=float32)]","[array([[ 2.4084134, -9.616062 ]], dtype=float32)]"
00382__00647,"[array([[0.        , 1.7408079 , 0.8291832 , 0.09093198]], dtype=float32)]","[array([[-0.0440216, -3.9215853]], dtype=float32)]"
00382__00206,"[array([[0.68790895, 1.1272029 , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.064, -6.942]], dtype=float32)]"
00382__00704,"[array([[0.22584374, 0.85670114, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.064    , -1.5938755]], dtype=float32)]"
00382__00551,"[array([[0.50592875, 2.9251935 , 1.108771  , 0.        ]], dtype=float32)]","[array([[ 0.72567743, -8.001776  ]], dtype=float32)]"
00382__00254,"[array([[0.5230954 , 0.29808366, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.68008596, -5.7091765 ]], dtype=float32)]"
00382__00268,"[array([[0.61192864, 0.77948624, 0.        , 0.        ]], dtype=float32)]","[array([[-1.2666105, -7.0747156]], dtype=float32)]"
00382__00293,"[array([[0.        , 2.1689618 , 1.369252  , 0.36029992]], dtype=float32)]","[array([[ -1.6248267, -12.290125 ]], dtype=float32)]"
00382__00311,"[array([[0.06056656, 1.3621261 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.5097672, -4.5718136]], dtype=float32)]"
00382__00314,"[array([[0.        , 3.033082  , 0.98650265, 0.38622385]], dtype=float32)]","[array([[  0.8212258, -11.296581 ]], dtype=float32)]"
00382__00914,"[array([[0.88400096, 2.223329  , 1.2964813 , 0.        ]], dtype=float32)]","[array([[-1.6248267, -6.942    ]], dtype=float32)]"
00382__00864,"[array([[0.        , 0.82382745, 0.        , 0.0891045 ]], dtype=float32)]","[array([[-0.56713456, -4.3879104 ]], dtype=float32)]"
00382__00718,"[array([[0.06043579, 1.3383816 , 0.        , 0.        ]], dtype=float32)]","[array([[ 2.306719 , -3.8891697]], dtype=float32)]"
00382__00776,"[array([[0.16778417, 1.3220437 , 0.13398647, 0.        ]], dtype=float32)]","[array([[ 3.1754634, -2.7315178]], dtype=float32)]"
00382__00830,"[array([[0.7856226, 1.4860777, 0.813626 , 0.       ]], dtype=float32)]","[array([[ 0.5698131, -4.4060884]], dtype=float32)]"
00382__00413,"[array([[0.        , 1.7742456 , 0.84210473, 0.7799557 ]], dtype=float32)]","[array([[ 1.1380166, -8.102226 ]], dtype=float32)]"
00382__00431,"[array([[0.4512812, 2.4044392, 1.3015801, 0.       ]], dtype=float32)]","[array([[ 1.1203206, -7.5480914]], dtype=float32)]"
00382__00442,"[array([[0.22062413, 2.6049888 , 1.1721082 , 0.        ]], dtype=float32)]","[array([[  1.064   , -12.290125]], dtype=float32)]"
00382__00457,"[array([[0.        , 1.0014055 , 0.        , 0.92703855]], dtype=float32)]","[array([[ 3.7528267, -1.5938755]], dtype=float32)]"
