Image_ID,Penultimate_Output,GT_Value
01877__00001,"[array([[0.84025925, 0.06004667, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.92998016, -3.2898507 ]], dtype=float32)]"
01877__00022,"[array([[0.        , 0.6353266 , 0.        , 0.31198284]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
01877__00833,"[array([[0.601347, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
01877__00525,"[array([[1.3855227, 0.5190295, 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
01877__00058,"[array([[1.2382889, 0.691706 , 0.       , 0.       ]], dtype=float32)]","[array([[-1.3070027, -7.0875864]], dtype=float32)]"
01877__00449,"[array([[1.9822514, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
01877__00587,"[array([[1.0024829, 1.5985035, 1.2962452, 0.       ]], dtype=float32)]","[array([[-0.6767042, -7.9477634]], dtype=float32)]"
01877__00472,"[array([[0.93202895, 0.56520975, 0.        , 0.        ]], dtype=float32)]","[array([[-0.47856972, -6.644778  ]], dtype=float32)]"
01877__00121,"[array([[0.        , 0.3729012 , 0.        , 0.48611537]], dtype=float32)]","[array([[ 1.1545788, -4.5228996]], dtype=float32)]"
01877__00129,"[array([[0.7348871 , 1.3978302 , 0.27066886, 0.        ]], dtype=float32)]","[array([[ 1.1806878, -5.906824 ]], dtype=float32)]"
01877__00155,"[array([[0.07838185, 0.830484  , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.2226837, -6.6950274]], dtype=float32)]"
01877__00164,"[array([[1.3605045, 0.8678216, 0.       , 0.       ]], dtype=float32)]","[array([[-1.8908706, -5.513518 ]], dtype=float32)]"
01877__00173,"[array([[0.        , 0.        , 0.        , 0.13505574]], dtype=float32)]","[array([[ 1.1555243, -2.0979528]], dtype=float32)]"
01877__00476,"[array([[1.9573731, 1.0176289, 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
01877__00550,"[array([[0.7868893, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
01877__00666,"[array([[0.1252013, 1.5837396, 1.0160966, 0.       ]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
01877__00242,"[array([[1.0415199, 1.2873337, 0.       , 0.       ]], dtype=float32)]","[array([[-1.8038981, -6.022483 ]], dtype=float32)]"
01877__00249,"[array([[0.65525776, 1.2997617 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.7568188, -8.49141  ]], dtype=float32)]"
01877__00264,"[array([[0.1265821, 0.3355074, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.33877686, -6.921328  ]], dtype=float32)]"
01877__00738,"[array([[1.3176742, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
01877__00292,"[array([[0.8724213 , 0.40138125, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
01877__00314,"[array([[0.7253994 , 0.53880775, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.5268666, -7.977996 ]], dtype=float32)]"
01877__00321,"[array([[0.6302395, 1.0412471, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
01877__00340,"[array([[0.45968175, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
01877__00355,"[array([[0.34965575, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.52811325, -4.479852  ]], dtype=float32)]"
01877__00682,"[array([[0.        , 1.5438964 , 0.92712224, 0.        ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
01877__00374,"[array([[0.5687798, 1.1270663, 0.       , 0.       ]], dtype=float32)]","[array([[-1.2757035, -9.353824 ]], dtype=float32)]"
01877__00391,"[array([[0.37463623, 0.8478875 , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.0166132, -8.673448 ]], dtype=float32)]"
01877__00641,"[array([[1.4540064, 1.2852194, 0.       , 0.       ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
01877__00430,"[array([[0.89195174, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-0.44974872, -3.4605515 ]], dtype=float32)]"
