Image_ID,Penultimate_Output,GT_Value
02091__00677,"[array([[0.        , 0.73086417, 0.        , 1.0251703 ]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02091__00026,"[array([[0.        , 0.7010658 , 0.        , 0.66037935]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02091__00799,"[array([[0.        , 0.73150814, 0.        , 0.03492698]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00058,"[array([[1.2008097, 2.8849235, 1.052397 , 0.       ]], dtype=float32)]","[array([[ 2.2138033, -8.295756 ]], dtype=float32)]"
02091__00070,"[array([[0.       , 0.6532488, 0.       , 1.6714135]], dtype=float32)]","[array([[ 2.9603345, -3.3583314]], dtype=float32)]"
02091__00454,"[array([[0.6481615, 1.784974 , 0.9038502, 0.       ]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02091__00877,"[array([[0.        , 2.2938974 , 1.3550589 , 0.65910566]], dtype=float32)]","[array([[ 2.060475, -8.158518]], dtype=float32)]"
02091__00688,"[array([[0.86871535, 0.9606715 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.04545369, -3.285781  ]], dtype=float32)]"
02091__00739,"[array([[0.        , 3.1243846 , 0.72363687, 0.66850984]], dtype=float32)]","[array([[  1.4752239, -10.054551 ]], dtype=float32)]"
02091__00135,"[array([[0.41221887, 0.28352332, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.0635  , -1.427988]], dtype=float32)]"
02091__00153,"[array([[0.85968333, 2.5288968 , 1.2220149 , 0.        ]], dtype=float32)]","[array([[ 1.1590116, -7.434848 ]], dtype=float32)]"
02091__00175,"[array([[0.09396099, 2.6857352 , 1.1928033 , 0.10540116]], dtype=float32)]","[array([[ 0.78245497, -8.5200815 ]], dtype=float32)]"
02091__00858,"[array([[0.       , 3.3917985, 1.0652843, 1.8729944]], dtype=float32)]","[array([[  3.3641067, -10.585012 ]], dtype=float32)]"
02091__00827,"[array([[0.9995881, 2.343627 , 1.264604 , 0.       ]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02091__00215,"[array([[0.3657912, 2.0413113, 1.2154193, 0.       ]], dtype=float32)]","[array([[ 1.3144443, -5.5447445]], dtype=float32)]"
02091__00655,"[array([[0.       , 1.7968771, 1.1219215, 1.8026065]], dtype=float32)]","[array([[ 3.3641067, -6.0065   ]], dtype=float32)]"
02091__00249,"[array([[0.7546036, 1.756983 , 1.289418 , 0.       ]], dtype=float32)]","[array([[-0.66135395, -7.430102  ]], dtype=float32)]"
02091__00499,"[array([[0.33225495, 0.83237535, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.03534295, -2.531589  ]], dtype=float32)]"
02091__00480,"[array([[0.7598074 , 1.6199336 , 0.45355815, 0.        ]], dtype=float32)]","[array([[ 2.2315576, -5.5767465]], dtype=float32)]"
02091__00598,"[array([[0.73164016, 0.83456945, 0.        , 0.        ]], dtype=float32)]","[array([[-0.08680333, -3.717244  ]], dtype=float32)]"
02091__00536,"[array([[0.        , 1.3837328 , 0.15859008, 1.0005136 ]], dtype=float32)]","[array([[ 2.0198035, -5.1945076]], dtype=float32)]"
02091__00325,"[array([[0.        , 3.3963215 , 0.89119613, 1.3955543 ]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02091__00339,"[array([[1.4018708, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.2371067, -1.427988 ]], dtype=float32)]"
02091__00723,"[array([[0.        , 0.80151594, 0.        , 1.3712212 ]], dtype=float32)]","[array([[ 1.4669187, -1.6905   ]], dtype=float32)]"
02091__00461,"[array([[0.       , 1.2471716, 0.       , 0.5230239]], dtype=float32)]","[array([[ 1.1054044, -3.743794 ]], dtype=float32)]"
02091__00378,"[array([[0.       , 1.9210227, 1.3405583, 1.6411796]], dtype=float32)]","[array([[ 2.7989705, -9.177293 ]], dtype=float32)]"
02091__00631,"[array([[0.       , 1.3295527, 0.       , 1.0209869]], dtype=float32)]","[array([[ 0.8506103, -6.0757823]], dtype=float32)]"
02091__00411,"[array([[1.5298008 , 1.414262  , 0.45572042, 0.        ]], dtype=float32)]","[array([[-1.2371067, -6.0065   ]], dtype=float32)]"
02091__00422,"[array([[0.       , 0.6671593, 0.       , 0.886608 ]], dtype=float32)]","[array([[ 3.3641067, -1.427988 ]], dtype=float32)]"
02091__00618,"[array([[1.9367697, 1.9131522, 0.9815783, 0.       ]], dtype=float32)]","[array([[-0.98151225, -6.4280143 ]], dtype=float32)]"
