Image_ID,Penultimate_Output,GT_Value
03183__00002,"[array([[1.6069775 , 0.06223166, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03183__00020,"[array([[0.39761674, 2.439167  , 0.9912786 , 0.        ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03183__00033,"[array([[0.14625894, 0.12537432, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.6581997, -3.758385 ]], dtype=float32)]"
03183__00578,"[array([[0.       , 2.356889 , 1.0095392, 0.755147 ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03183__00067,"[array([[0.73869145, 1.3637366 , 0.19092846, 0.        ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03183__00495,"[array([[0.403301  , 0.33621967, 0.        , 0.        ]], dtype=float32)]","[array([[-0.43623254, -3.8506503 ]], dtype=float32)]"
03183__00089,"[array([[0.69040805, 0.98085195, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03183__00476,"[array([[0.5473707, 2.2466512, 1.058119 , 0.       ]], dtype=float32)]","[array([[ 1.8642656, -8.756939 ]], dtype=float32)]"
03183__00121,"[array([[0.28026468, 1.4739621 , 0.08237207, 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03183__00140,"[array([[0.6214013 , 1.4328848 , 0.45640397, 0.        ]], dtype=float32)]","[array([[-0.5138555, -2.5388103]], dtype=float32)]"
03183__00147,"[array([[0.14196546, 1.4754703 , 0.62369573, 0.        ]], dtype=float32)]","[array([[ 1.7092862, -2.9548507]], dtype=float32)]"
03183__00170,"[array([[0.51616496, 1.2752912 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.47589442, -3.0465467 ]], dtype=float32)]"
03183__00650,"[array([[1.2892033 , 0.29713392, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.14472593, -7.1324153 ]], dtype=float32)]"
03183__00626,"[array([[0.        , 0.23199522, 0.        , 0.5764293 ]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03183__00821,"[array([[0.       , 0.       , 0.       , 0.3868103]], dtype=float32)]","[array([[ 0.8953586, -1.9161259]], dtype=float32)]"
03183__00860,"[array([[0.25448334, 0.16676533, 0.        , 0.        ]], dtype=float32)]","[array([[-0.675011, -3.332063]], dtype=float32)]"
03183__00847,"[array([[0.9114638 , 1.3849111 , 0.25785768, 0.        ]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
03183__00261,"[array([[0.        , 1.0138868 , 0.        , 0.99242175]], dtype=float32)]","[array([[ 1.3863043, -6.4302135]], dtype=float32)]"
03183__00276,"[array([[0.83088833, 0.6226256 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03183__00714,"[array([[0.7166275, 0.7141546, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0515524, -3.9415278]], dtype=float32)]"
03183__00306,"[array([[1.093627 , 2.1723833, 0.8399297, 0.       ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03183__00319,"[array([[0.3543275 , 0.38864946, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.55717224, -3.3685024 ]], dtype=float32)]"
03183__00839,"[array([[0.34109235, 0.21201849, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03183__00351,"[array([[0.43567836, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03183__00745,"[array([[0.        , 1.2488494 , 0.        , 0.59127975]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
03183__00564,"[array([[0.        , 1.334713  , 0.03606403, 0.18723339]], dtype=float32)]","[array([[-0.04250681, -5.9372773 ]], dtype=float32)]"
03183__00761,"[array([[0.        , 0.63326716, 0.        , 0.22702363]], dtype=float32)]","[array([[ 1.0453461, -4.05227  ]], dtype=float32)]"
03183__00396,"[array([[0.       , 2.173041 , 0.9364525, 1.0646011]], dtype=float32)]","[array([[ 1.7686625, -8.732562 ]], dtype=float32)]"
03183__00806,"[array([[1.1603749, 0.716051 , 0.       , 0.       ]], dtype=float32)]","[array([[-1.9145887, -3.8693588]], dtype=float32)]"
03183__00432,"[array([[0.39761424, 1.1976681 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.60098094, -3.4022117 ]], dtype=float32)]"
