Image_ID,Penultimate_Output,GT_Value
01326__00009,"[array([[0.8484296, 0.9811848, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00567,"[array([[0.       , 0.2572273, 0.       , 1.3565968]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00041,"[array([[0.       , 2.222922 , 1.0234177, 1.9305345]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
01326__00732,"[array([[0.       , 2.0042639, 1.1368948, 0.8377649]], dtype=float32)]","[array([[ 1.6839163, -4.8267436]], dtype=float32)]"
01326__00069,"[array([[0.       , 1.0533357, 0.       , 1.2352384]], dtype=float32)]","[array([[ 1.7148993, -4.6958933]], dtype=float32)]"
01326__00086,"[array([[0.8613002, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
01326__00105,"[array([[0.       , 1.6931193, 0.1619091, 1.7913162]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
01326__00113,"[array([[0.       , 0.       , 0.       , 1.8810573]], dtype=float32)]","[array([[ 3.365   , -1.426988]], dtype=float32)]"
01326__00133,"[array([[0.9476008, 1.9838747, 0.9785986, 0.       ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01326__00145,"[array([[0.        , 1.5835046 , 0.03780091, 2.4099216 ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
01326__00846,"[array([[0.13542639, 1.1674126 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.24804597, -7.0808992 ]], dtype=float32)]"
01326__00473,"[array([[0.       , 1.3690461, 0.       , 1.4838591]], dtype=float32)]","[array([[ 1.2637262, -4.5108924]], dtype=float32)]"
01326__00186,"[array([[0.        , 1.905129  , 0.9733914 , 0.70391566]], dtype=float32)]","[array([[-0.37773487, -7.348909  ]], dtype=float32)]"
01326__00728,"[array([[0.        , 0.        , 0.        , 0.20103613]], dtype=float32)]","[array([[ 1.064   , -1.426988]], dtype=float32)]"
01326__00217,"[array([[0.00778809, 0.        , 0.        , 0.02121332]], dtype=float32)]","[array([[-0.3429146, -6.896609 ]], dtype=float32)]"
01326__00233,"[array([[0.       , 0.6797802, 0.       , 1.8250333]], dtype=float32)]","[array([[ 1.3815773, -5.3264384]], dtype=float32)]"
01326__00697,"[array([[0.       , 2.1756291, 1.2914652, 2.388447 ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01326__00256,"[array([[0.       , 1.3531919, 0.       , 3.024657 ]], dtype=float32)]","[array([[ 3.1766007, -5.9298944]], dtype=float32)]"
01326__00837,"[array([[0.       , 0.       , 0.       , 0.2380363]], dtype=float32)]","[array([[-0.1818894, -2.4679334]], dtype=float32)]"
01326__00748,"[array([[0.        , 1.8817444 , 0.90448475, 0.96271473]], dtype=float32)]","[array([[ 0.5656391, -8.091167 ]], dtype=float32)]"
01326__00764,"[array([[0.       , 1.3856456, 0.       , 1.8804847]], dtype=float32)]","[array([[ 2.9917054, -5.6740084]], dtype=float32)]"
01326__00672,"[array([[0.        , 0.        , 0.        , 0.52470964]], dtype=float32)]","[array([[ 2.2145  , -3.716244]], dtype=float32)]"
01326__00329,"[array([[0.43858945, 2.2024126 , 1.1837469 , 0.        ]], dtype=float32)]","[array([[-0.0865  , -8.294756]], dtype=float32)]"
01326__00640,"[array([[0.        , 1.3654673 , 0.00589907, 0.78573245]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01326__00361,"[array([[0.68064785, 0.85443425, 0.        , 0.        ]], dtype=float32)]","[array([[-0.7277223, -5.9635344]], dtype=float32)]"
01326__00382,"[array([[0.7720383 , 0.46906805, 0.        , 0.        ]], dtype=float32)]","[array([[-0.7427512, -3.3236547]], dtype=float32)]"
01326__00388,"[array([[0.        , 1.5303817 , 0.04615963, 0.36136794]], dtype=float32)]","[array([[-1.0482773, -4.3173704]], dtype=float32)]"
01326__00632,"[array([[0.3611266, 0.7722987, 0.       , 0.       ]], dtype=float32)]","[array([[ -0.5758834, -10.536893 ]], dtype=float32)]"
01326__00871,"[array([[0.        , 2.477582  , 1.3194319 , 0.36573192]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
01326__00432,"[array([[0.52087754, 1.3910762 , 0.26718283, 0.        ]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
