Image_ID,Penultimate_Output,GT_Value
03140__00009,"[array([[0.       , 1.4729375, 0.6370229, 0.       ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
03140__00022,"[array([[0.        , 0.52830625, 0.        , 0.19650772]], dtype=float32)]","[array([[-0.04052209, -2.292457  ]], dtype=float32)]"
03140__00034,"[array([[0.       , 2.1053417, 1.0129364, 1.1986576]], dtype=float32)]","[array([[ 1.7181449, -8.902572 ]], dtype=float32)]"
03140__00043,"[array([[0.8652995 , 0.62112737, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
03140__00054,"[array([[1.0450226, 0.8699668, 0.       , 0.       ]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
03140__00708,"[array([[0.        , 0.5624119 , 0.        , 0.06696151]], dtype=float32)]","[array([[ 0.97520816, -3.7568548 ]], dtype=float32)]"
03140__00092,"[array([[0.        , 1.6198393 , 0.7614472 , 0.24575832]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
03140__00434,"[array([[0.        , 0.        , 0.        , 0.07493966]], dtype=float32)]","[array([[ 0.88850904, -4.2575803 ]], dtype=float32)]"
03140__00476,"[array([[0.       , 0.371868 , 0.       , 0.1362231]], dtype=float32)]","[array([[ 1.5071156, -4.25351  ]], dtype=float32)]"
03140__00450,"[array([[0.54020256, 1.2014996 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
03140__00623,"[array([[0.16210894, 1.3369732 , 0.08770597, 0.        ]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
03140__00150,"[array([[0.36042672, 1.5291686 , 0.8578231 , 0.        ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
03140__00635,"[array([[0.        , 1.4828255 , 0.64655143, 0.24083278]], dtype=float32)]","[array([[ 1.7219461, -8.011247 ]], dtype=float32)]"
03140__00185,"[array([[0.23143236, 1.7108135 , 0.87689865, 0.        ]], dtype=float32)]","[array([[ 1.1259277, -5.493732 ]], dtype=float32)]"
03140__00492,"[array([[0.       , 1.4625835, 0.5283538, 0.       ]], dtype=float32)]","[array([[ 1.7188623, -6.980406 ]], dtype=float32)]"
03140__00215,"[array([[0.10117133, 0.8075865 , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.1100414, -3.671009 ]], dtype=float32)]"
03140__00221,"[array([[0.6247541, 2.3558078, 1.1626353, 0.       ]], dtype=float32)]","[array([[-1.6929479, -9.415713 ]], dtype=float32)]"
03140__00239,"[array([[0.8857177 , 0.45215285, 0.        , 0.        ]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
03140__00252,"[array([[0.54686785, 1.6446426 , 1.0757049 , 0.        ]], dtype=float32)]","[array([[-1.3260598, -7.6559906]], dtype=float32)]"
03140__00270,"[array([[0.96315306, 0.8396124 , 0.        , 0.        ]], dtype=float32)]","[array([[-1.5901926, -3.2969432]], dtype=float32)]"
03140__00504,"[array([[1.0945759, 1.2688385, 0.       , 0.       ]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
03140__00770,"[array([[0.8475655 , 0.42818415, 0.        , 0.        ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
03140__00610,"[array([[0.        , 0.        , 0.        , 0.61089504]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
03140__00678,"[array([[0.418656  , 1.5304242 , 0.87086004, 0.        ]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
03140__00330,"[array([[0.       , 1.0295448, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.37066454, -5.5935273 ]], dtype=float32)]"
03140__00693,"[array([[0.4230638, 0.5927683, 0.       , 0.       ]], dtype=float32)]","[array([[-0.43658823, -4.3909593 ]], dtype=float32)]"
03140__00560,"[array([[0.52114344, 0.48977005, 0.        , 0.        ]], dtype=float32)]","[array([[-0.21458578, -3.171853  ]], dtype=float32)]"
03140__00368,"[array([[0.41212112, 1.4383554 , 0.50729495, 0.        ]], dtype=float32)]","[array([[-0.45650208, -7.046691  ]], dtype=float32)]"
03140__00388,"[array([[0.10314257, 1.5112672 , 0.729124  , 0.        ]], dtype=float32)]","[array([[ 0.11944913, -5.3423624 ]], dtype=float32)]"
03140__00604,"[array([[0.20270143, 1.0929229 , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
