Image_ID,Penultimate_Output,GT_Value
02833__00505,"[array([[0.09910674, 0.52822816, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.9628885, -2.2427163]], dtype=float32)]"
02833__00778,"[array([[0.10002054, 0.9706832 , 0.        , 0.        ]], dtype=float32)]","[array([[ 0.18885288, -6.9766517 ]], dtype=float32)]"
02833__00636,"[array([[0.9095786 , 1.5598481 , 0.89658016, 0.        ]], dtype=float32)]","[array([[-1.7784562, -4.022891 ]], dtype=float32)]"
02833__00484,"[array([[0.4231382 , 0.80278194, 0.        , 0.        ]], dtype=float32)]","[array([[ 0.       , -1.7015493]], dtype=float32)]"
02833__00576,"[array([[0.64937896, 1.2804122 , 0.        , 0.        ]], dtype=float32)]","[array([[-1.5420531, -2.057616 ]], dtype=float32)]"
02833__00082,"[array([[0.45060003, 2.1512008 , 1.3998817 , 0.        ]], dtype=float32)]","[array([[ 0.      , -9.467451]], dtype=float32)]"
02833__00467,"[array([[0.        , 0.68338305, 0.        , 0.63554585]], dtype=float32)]","[array([[ 0.48887002, -2.9987872 ]], dtype=float32)]"
02833__00792,"[array([[0.        , 0.67267835, 0.        , 0.29698557]], dtype=float32)]","[array([[ 1.93875  , -1.7015493]], dtype=float32)]"
02833__00457,"[array([[0.       , 2.0864043, 1.5215125, 1.2629046]], dtype=float32)]","[array([[ 1.3259481, -6.09043  ]], dtype=float32)]"
02833__00737,"[array([[1.4389175, 2.405867 , 1.4651167, 0.       ]], dtype=float32)]","[array([[-0.80370176, -7.429308  ]], dtype=float32)]"
02833__00589,"[array([[0.        , 1.1730326 , 0.        , 0.15409327]], dtype=float32)]","[array([[ 0.13279036, -2.9994123 ]], dtype=float32)]"
02833__00165,"[array([[1.2503434, 1.1933051, 0.       , 0.       ]], dtype=float32)]","[array([[-0.969375 , -3.6430247]], dtype=float32)]"
02833__00720,"[array([[0.       , 2.1532397, 1.4402865, 0.7651745]], dtype=float32)]","[array([[ 1.93875 , -9.467451]], dtype=float32)]"
02833__00810,"[array([[0.13286023, 1.7026931 , 1.3584455 , 0.        ]], dtype=float32)]","[array([[ 0.969375, -7.525975]], dtype=float32)]"
02833__00203,"[array([[0.        , 0.8910879 , 0.        , 0.10146256]], dtype=float32)]","[array([[-0.32147774, -4.886626  ]], dtype=float32)]"
02833__00227,"[array([[1.6042372, 1.8856812, 1.5046573, 0.       ]], dtype=float32)]","[array([[-1.922312, -8.276196]], dtype=float32)]"
02833__00679,"[array([[0.       , 1.1375492, 0.       , 0.6562975]], dtype=float32)]","[array([[ 0.877316 , -3.8744707]], dtype=float32)]"
02833__00648,"[array([[0.6486844, 1.9375193, 1.4264227, 0.       ]], dtype=float32)]","[array([[-0.969375, -7.525975]], dtype=float32)]"
02833__00253,"[array([[0.5539508, 1.7060744, 1.4307013, 0.       ]], dtype=float32)]","[array([[-1.4171149, -8.330607 ]], dtype=float32)]"
02833__00275,"[array([[0.        , 0.5432333 , 0.        , 0.22395045]], dtype=float32)]","[array([[ 0.969375 , -3.6430247]], dtype=float32)]"
02833__00281,"[array([[0.        , 0.3402171 , 0.        , 0.01158716]], dtype=float32)]","[array([[-1.93875  , -1.7015493]], dtype=float32)]"
02833__00691,"[array([[0.5527648 , 1.3268822 , 0.10543537, 0.        ]], dtype=float32)]","[array([[ 0.    , -5.5845]], dtype=float32)]"
02833__00706,"[array([[0.        , 0.7035356 , 0.        , 0.47072947]], dtype=float32)]","[array([[-1.469693 , -3.0176163]], dtype=float32)]"
02833__00324,"[array([[0.15145592, 1.9382678 , 1.180305  , 0.        ]], dtype=float32)]","[array([[ 1.0376183, -7.7658415]], dtype=float32)]"
02833__00542,"[array([[0.65177697, 2.2157526 , 1.412514  , 0.        ]], dtype=float32)]","[array([[-1.93875 , -9.467451]], dtype=float32)]"
02833__00527,"[array([[0.        , 0.7049433 , 0.        , 0.13167743]], dtype=float32)]","[array([[ 0.7266846, -3.5667188]], dtype=float32)]"
02833__00364,"[array([[0.        , 1.6112124 , 0.27905953, 0.73872465]], dtype=float32)]","[array([[ 1.8829976, -1.9203651]], dtype=float32)]"
02833__00662,"[array([[1.2039043, 2.0643625, 1.3851658, 0.       ]], dtype=float32)]","[array([[-1.93875, -5.5845 ]], dtype=float32)]"
02833__00520,"[array([[0.55128  , 0.8469919, 0.       , 0.       ]], dtype=float32)]","[array([[ 0.04779962, -2.8704674 ]], dtype=float32)]"
02833__00415,"[array([[0.17363642, 1.1697147 , 0.        , 0.        ]], dtype=float32)]","[array([[ 1.93875, -5.5845 ]], dtype=float32)]"
