Image_ID,Penultimate_Output,GT_Value
02240__00006,"[array([[1.4105581, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.2371067, -1.427988 ]], dtype=float32)]"
02240__00558,"[array([[0.        , 0.06903231, 0.        , 1.6236264 ]], dtype=float32)]","[array([[ 2.9763005, -3.3573499]], dtype=float32)]"
02240__00043,"[array([[0.6689826 , 0.18481171, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.0635  , -1.427988]], dtype=float32)]"
02240__00045,"[array([[0.00600275, 0.        , 0.        , 0.09629032]], dtype=float32)]","[array([[ 0.8016186, -1.6866294]], dtype=float32)]"
02240__00070,"[array([[0.       , 2.3110042, 1.2057747, 1.5659114]], dtype=float32)]","[array([[ 2.3825927, -7.5005994]], dtype=float32)]"
02240__00087,"[array([[0.       , 2.5371375, 0.9127645, 0.444072 ]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02240__00096,"[array([[0.        , 3.5257807 , 0.65927905, 1.4556371 ]], dtype=float32)]","[array([[  2.616588, -10.404006]], dtype=float32)]"
02240__00105,"[array([[0.40402156, 0.9638323 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.08680333, -3.717244  ]], dtype=float32)]"
02240__00131,"[array([[0.77370906, 0.8140158 , 0.        , 0.        ]], dtype=float32)]","[array([[-0.26540843, -4.4810424 ]], dtype=float32)]"
02240__00144,"[array([[0.        , 2.4783    , 0.9575312 , 0.15451789]], dtype=float32)]","[array([[ 2.1240492, -7.8395033]], dtype=float32)]"
02240__00160,"[array([[0.9823087, 1.9406772, 0.8387004, 0.       ]], dtype=float32)]","[array([[-1.2371067, -6.0065   ]], dtype=float32)]"
02240__00521,"[array([[0.       , 0.       , 0.       , 1.6899486]], dtype=float32)]","[array([[ 3.3641067, -1.427988 ]], dtype=float32)]"
02240__00188,"[array([[1.1770755 , 1.9958596 , 0.98485994, 0.        ]], dtype=float32)]","[array([[-1.2000674, -7.252081 ]], dtype=float32)]"
02240__00840,"[array([[0.       , 1.4007112, 0.       , 1.8743577]], dtype=float32)]","[array([[ 3.3641067, -6.0065   ]], dtype=float32)]"
02240__00514,"[array([[0.        , 1.0594019 , 0.        , 0.02757777]], dtype=float32)]","[array([[ 0.88984257, -7.2224164 ]], dtype=float32)]"
02240__00231,"[array([[0.       , 0.       , 0.       , 1.8407416]], dtype=float32)]","[array([[ 2.3686502, -2.161914 ]], dtype=float32)]"
02240__00237,"[array([[0.        , 2.3373013 , 0.91275233, 0.10372732]], dtype=float32)]","[array([[-0.22450152, -6.688256  ]], dtype=float32)]"
02240__00250,"[array([[0.       , 3.64388  , 0.7212814, 2.0295923]], dtype=float32)]","[array([[  3.3641067, -10.585012 ]], dtype=float32)]"
02240__00677,"[array([[0.        , 3.6158915 , 0.59467745, 0.47565383]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02240__00283,"[array([[0.       , 0.       , 0.       , 1.6673677]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02240__00307,"[array([[0.8928067, 1.0566516, 0.       , 0.       ]], dtype=float32)]","[array([[-1.2240815, -4.7256603]], dtype=float32)]"
02240__00313,"[array([[0.       , 0.       , 0.       , 1.7878779]], dtype=float32)]","[array([[ 2.0334473, -2.5608008]], dtype=float32)]"
02240__00323,"[array([[0.       , 0.5290748, 0.       , 1.2724599]], dtype=float32)]","[array([[ 1.7750372, -4.7103243]], dtype=float32)]"
02240__00340,"[array([[0.        , 2.3978343 , 0.68005854, 0.7093059 ]], dtype=float32)]","[array([[  0.6517092, -10.24848  ]], dtype=float32)]"
02240__00721,"[array([[0.       , 1.9908195, 0.7157014, 1.6556051]], dtype=float32)]","[array([[ 3.0619726, -8.155671 ]], dtype=float32)]"
02240__00375,"[array([[0.       , 2.5207927, 1.0683008, 1.098762 ]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02240__00827,"[array([[0.        , 1.2595742 , 0.        , 0.83975506]], dtype=float32)]","[array([[ 1.2173462, -8.762151 ]], dtype=float32)]"
02240__00448,"[array([[0.        , 0.4593525 , 0.        , 0.83890617]], dtype=float32)]","[array([[ 0.29608634, -4.3387365 ]], dtype=float32)]"
02240__00569,"[array([[0.       , 1.3499892, 0.       , 1.0594296]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02240__00632,"[array([[0.        , 2.210279  , 0.78830236, 1.4430051 ]], dtype=float32)]","[array([[ 2.2138033, -8.295756 ]], dtype=float32)]"
